channel_id,channel_title,channel_url,niche,subscriber_count
UC7z9s9rhTAfdq7eiAF1SZXw,PsicoTalk Podcast,https://www.youtube.com/channel/UC7z9s9rhTAfdq7eiAF1SZXw,ensino médio,113
UCM6VCYYTbxjoImgSGuomQIg,Novo Dia Podcast,https://www.youtube.com/channel/UCM6VCYYTbxjoImgSGuomQIg,conhecimento,103
UCVioUgbz8NCJpwUUVMzbtNw,Podcast Juventude,https://www.youtube.com/channel/UCVioUgbz8NCJpwUUVMzbtNw,formação,100
UCJ9B3GwKHPd3OSgi03y3Xdg,Três de 12  PODCAST,https://www.youtube.com/channel/UCJ9B3GwKHPd3OSgi03y3Xdg,instrução,98
UCi45gm8D3mjOoBoGFjVmWEw,NutriShow Podcast,https://www.youtube.com/channel/UCi45gm8D3mjOoBoGFjVmWEw,treinamento,98
UCVqnY_xBTecu_UlPrePT01w,Podcast Elas Na Ciência,https://www.youtube.com/channel/UCVqnY_xBTecu_UlPrePT01w,ensino,96
UCi8D5qiKP0DYyCXnEfPg_Cg,Olho no Olho - Podcast,https://www.youtube.com/channel/UCi8D5qiKP0DYyCXnEfPg_Cg,educação à distância,96
UC83h5HFqSQFrefFJiVPPAuw,Escola das familias PODCAST,https://www.youtube.com/channel/UC83h5HFqSQFrefFJiVPPAuw,escola,90
UCEeQFjvckJkEMn_b-Ueen0g,PODCAST Mente Acadêmica,https://www.youtube.com/channel/UCEeQFjvckJkEMn_b-Ueen0g,ensino superior,80
UCeIHD-2P4gyc_3g3NEePjsg,Educa Podcast,https://www.youtube.com/channel/UCeIHD-2P4gyc_3g3NEePjsg,ensino,79
UCD66jV-2nV6LIlBT4P8qprg,Podcast Ensina Aí! ,https://www.youtube.com/channel/UCD66jV-2nV6LIlBT4P8qprg,ensino,73
UCA5ipxTMJppW4PntV4ZSYEg,Podcast Rolê Acadêmico,https://www.youtube.com/channel/UCA5ipxTMJppW4PntV4ZSYEg,acadêmico,72
UCRkf2UqE_gvxbp5HlQi342w,Happy Auer Podcast,https://www.youtube.com/channel/UCRkf2UqE_gvxbp5HlQi342w,aprendizado,70
UCXFoD7MgChFujdpCiqWoRNg,Podcast ProCêVê,https://www.youtube.com/channel/UCXFoD7MgChFujdpCiqWoRNg,conhecimento,66
UCUsx0X9KOa43Hxh9b8RqgHw,Podcast Educação,https://www.youtube.com/channel/UCUsx0X9KOa43Hxh9b8RqgHw,educação,65
UCsvMoUD1Qb0Qvca2mUFc1Ig,PODCAST FALA BACHAREL,https://www.youtube.com/channel/UCsvMoUD1Qb0Qvca2mUFc1Ig,pedagogia,63
UCSpyFyvDIwoTLBrt9L6DFBw,EducaCast ,https://www.youtube.com/channel/UCSpyFyvDIwoTLBrt9L6DFBw,pedagogia,59
UCCeDv_3INBOfrRsMmVJ5gKQ,Projeto Podcast UTFPR,https://www.youtube.com/channel/UCCeDv_3INBOfrRsMmVJ5gKQ,acadêmico,58
UC8swgXuu4iU8NeBTu-X-qGg,Bioescuta Podcast,https://www.youtube.com/channel/UC8swgXuu4iU8NeBTu-X-qGg,capacitação,56
UC0ykqrN3cuMQdusQhHNctDw,Podcast Pedagogia,https://www.youtube.com/channel/UC0ykqrN3cuMQdusQhHNctDw,pedagogia,54
UCB6UO0QTmV_QhnjQLv-QKNA,PBP PodCast,https://www.youtube.com/channel/UCB6UO0QTmV_QhnjQLv-QKNA,escola,51
UCGNBcczaVxQ9fiqNIoDBZ0g,Auei Podcast,https://www.youtube.com/channel/UCGNBcczaVxQ9fiqNIoDBZ0g,aprendizado,51
UCTWChsc3fbhsA4CLeZWOEPw,Fala Metrô Podcast,https://www.youtube.com/channel/UCTWChsc3fbhsA4CLeZWOEPw,alfabetização,51
UCuNdql7vwTnTboj4XeWLe_Q,Pod T Podcast Tristão,https://www.youtube.com/channel/UCuNdql7vwTnTboj4XeWLe_Q,ensino,50
UCkNAHnGI90Zl3t1j9oDT_oA,PODCAST DA EDUCAÇAO,https://www.youtube.com/channel/UCkNAHnGI90Zl3t1j9oDT_oA,alfabetização,50
UCcQq8t3A-HHqEI24u2WisSw,Podcast FALA DIDÁTICA,https://www.youtube.com/channel/UCcQq8t3A-HHqEI24u2WisSw,didática,44
UCCdN9PtNxKSMRa2NG57HAtA,"Podcast Memórias, Sons e Trajetórias da Educação",https://www.youtube.com/channel/UCCdN9PtNxKSMRa2NG57HAtA,educação,42
UCNqZHQuSrc9GXp1R_M3zESw,Podcast do Zero ao 4.0,https://www.youtube.com/channel/UCNqZHQuSrc9GXp1R_M3zESw,ensino,40
UC-HqqfvIdd4qn7Khuk3m1rQ,A Mãe que Educa - Podcast,https://www.youtube.com/channel/UC-HqqfvIdd4qn7Khuk3m1rQ,educação infantil,40
UCd6oUdbI9Up8_gdSOXQ8cGQ,ELDORADO PODCAST,https://www.youtube.com/channel/UCd6oUdbI9Up8_gdSOXQ8cGQ,ensino médio,38
UCm_N4KoVuVfk1uFykxVzS4w,FACULDADE FAIT,https://www.youtube.com/channel/UCm_N4KoVuVfk1uFykxVzS4w,ensino superior,38
UCFMQqypYPmmTeiP4i77QLnQ,Nós da Docência podcast,https://www.youtube.com/channel/UCFMQqypYPmmTeiP4i77QLnQ,docência,37
UCe-n43ydziiCK2WJSeFeMhA,Dois Brothers Podcast,https://www.youtube.com/channel/UCe-n43ydziiCK2WJSeFeMhA,educação à distância,36
UC6ejalln--5e0N5SSZg0XMQ,Geração Vestuário Desportivo - Podcast,https://www.youtube.com/channel/UC6ejalln--5e0N5SSZg0XMQ,ensino superior,35
UCjMWSqGvtkUfNvR4r-8Rn4g,DDSCAST PodCast,https://www.youtube.com/channel/UCjMWSqGvtkUfNvR4r-8Rn4g,didática,34
UC47Hd2D8LjhzKu5AwuF-AJg,Pibidiário Podcast,https://www.youtube.com/channel/UC47Hd2D8LjhzKu5AwuF-AJg,ensino médio,33
UCd1ik1AFZv6B3HiwaqYcfLw,Camp Jabaquara PodCast,https://www.youtube.com/channel/UCd1ik1AFZv6B3HiwaqYcfLw,aprendizagem,30
UChp9cLKunI71PKMgpGASYKw,podcast na escola,https://www.youtube.com/channel/UChp9cLKunI71PKMgpGASYKw,escola,29
UCawbBzrJFGN0P2PWJVgQyeQ,Podcast Coisas de Escola,https://www.youtube.com/channel/UCawbBzrJFGN0P2PWJVgQyeQ,escola,29
